Year,Finishers,Rank,Distance (km),Number of stages,TotalHours,Winner_avg_speed km/hr,km of stages,TotalHoras_Calculadas
1903,21,1,2428,6,94.55,25.68,404.67,94.55
1904,15,1,2428,6,96.1,25.27,404.67,96.08
1905,24,1,2994,11,0.0,27.1,272.18,110.48
1906,14,1,4637,14,0.0,24.46,331.21,189.57
1907,33,1,4488,14,47.0,28.47,320.57,157.64
1908,36,1,4488,15,0.0,28.74,299.2,156.16
1909,54,1,4497,14,37.0,28.65,321.21,156.96
1910,41,1,4734,15,63.0,29.09,315.6,162.74
1911,28,1,5343,15,43.0,27.32,356.2,195.57
1912,41,1,5289,15,49.0,27.76,352.6,190.53
1913,25,1,5287,15,197.9,26.72,352.47,197.87
1914,53,1,5380,15,200.48,26.84,358.67,200.45
1919,10,1,5560,15,231.12,24.06,370.67,231.09
1920,22,1,5503,15,228.6,24.07,366.87,228.62
1921,37,1,5485,15,221.84,24.72,365.67,221.89
1922,38,1,5375,15,222.14,24.2,358.33,222.11
1923,29,1,5386,15,222.26,24.23,359.07,222.29
1924,60,1,5425,15,226.31,23.97,361.67,226.32
1925,49,1,5440,18,219.17,24.82,302.22,219.18
1926,40,1,5745,17,238.74,24.06,337.94,238.78
1927,39,1,5398,24,198.28,27.22,224.92,198.31
1928,40,1,5476,22,192.82,28.4,248.91,192.82
1929,59,1,5286,22,186.65,28.32,240.27,186.65
1930,58,1,4822,21,172.2,28.0,229.62,172.21
1931,35,1,5091,24,177.17,28.74,212.12,177.14
1932,57,1,4479,21,154.2,29.05,213.29,154.18
1933,40,1,4395,23,147.86,29.72,191.09,147.88
1934,39,1,4470,24,147.23,30.36,186.25,147.23
1935,46,1,4338,27,141.53,30.65,160.67,141.53
1936,43,1,4442,27,142.79,31.11,164.52,142.78
1937,46,1,4415,31,138.98,31.77,142.42,138.97
1938,55,1,4694,29,148.49,31.61,161.86,148.5
1939,49,1,4224,28,132.05,31.99,150.86,132.04
1947,52,1,4642,21,148.19,31.32,221.05,148.21
1948,43,1,4922,21,147.18,33.44,234.38,147.19
1949,54,1,4808,21,149.68,32.12,228.95,149.69
1950,50,1,4773,22,145.62,32.78,216.95,145.61
1951,66,1,4690,24,142.34,32.95,195.42,142.34
1952,78,1,4898,23,151.96,32.23,212.96,151.97
1953,76,1,4476,22,129.39,34.59,203.45,129.4
1954,69,1,4656,25,140.1,33.23,186.24,140.11
1955,69,1,4495,23,130.49,34.45,195.43,130.48
1956,88,1,4498,23,124.02,36.27,195.57,124.01
1957,55,1,4669,24,135.74,34.4,194.54,135.73
1958,78,1,4319,24,116.98,36.92,179.96,116.98
1959,65,1,4358,22,123.78,35.21,198.09,123.77
1960,81,1,4173,22,112.14,37.21,189.68,112.15
1961,72,1,4397,22,122.03,36.03,199.86,122.04
1962,93,1,4274,24,114.53,37.32,178.08,114.52
1963,75,1,4138,23,113.5,36.46,179.91,113.49
1964,80,1,4504,25,127.16,35.42,180.16,127.16
1965,96,1,4188,24,116.7,35.89,174.5,116.69
1966,3,1,4329,25,117.57,36.82,173.16,117.57
1967,87,1,4779,25,136.9,34.91,191.16,136.89
1968,63,1,4492,26,133.83,33.57,172.77,133.81
1969,86,1,4117,26,116.27,35.41,158.35,116.27
1970,99,1,4254,29,119.53,35.59,146.69,119.53
1971,94,1,3608,25,96.75,37.29,144.32,96.76
1972,88,1,3846,25,108.29,35.52,153.84,108.28
1973,87,1,4090,27,122.43,33.41,151.48,122.42
1974,105,1,4098,27,116.28,35.24,151.78,116.29
1975,84,1,4000,25,114.59,34.91,160.0,114.58
1976,87,1,4017,27,116.37,34.52,148.78,116.37
1977,53,1,4096,28,115.64,35.42,146.29,115.64
1978,78,1,3908,25,108.3,36.08,156.32,108.31
1979,89,1,3765,25,103.11,36.51,150.6,103.12
1980,84,1,3842,25,109.32,35.14,153.68,109.33
1981,121,1,3753,25,91.57,40.98,150.12,91.58
1982,125,1,3507,23,92.15,38.06,152.48,92.14
1983,88,1,3809,23,105.13,36.23,165.61,105.13
1984,122,1,4021,24,112.06,35.88,167.54,112.07
1985,140,1,4109,24,113.41,36.23,171.21,113.41
1986,130,1,4094,24,110.59,37.02,170.58,110.59
